dt_sin_pri,notified,probable,lab_confirmed,acum_notified,acum_probable,acum_lab_confirmed
2020-02-03,112.57142857142857,91.85714285714286,10.285714285714286,56833.857142857145,29344.85714285714,13617.57142857143
2020-02-04,113.71428571428571,93.42857142857143,11.571428571428571,56947.57142857143,29438.285714285714,13629.142857142857
2020-02-05,123.71428571428571,104.42857142857143,13.0,57071.28571428572,29542.714285714286,13642.142857142857
2020-02-06,130.42857142857142,110.71428571428571,13.428571428571429,57201.71428571428,29653.428571428572,13655.57142857143
2020-02-07,143.42857142857142,124.71428571428571,13.857142857142858,57345.142857142855,29778.14285714286,13669.42857142857
2020-02-08,141.42857142857142,124.42857142857143,13.428571428571429,57486.57142857143,29902.571428571428,13682.857142857143
2020-02-09,155.42857142857142,137.57142857142858,12.0,57642.0,30040.14285714286,13694.857142857143
2020-02-10,171.0,152.28571428571428,13.857142857142858,57813.0,30192.428571428572,13708.714285714286
2020-02-11,190.57142857142858,169.71428571428572,15.0,58003.57142857143,30362.14285714286,13723.714285714286
2020-02-12,199.71428571428572,177.57142857142858,15.571428571428571,58203.28571428572,30539.714285714286,13739.285714285714
2020-02-13,214.71428571428572,192.0,15.714285714285714,58418.0,30731.714285714286,13755.0
2020-02-14,223.85714285714286,199.71428571428572,16.0,58641.857142857145,30931.428571428572,13771.0
2020-02-15,238.85714285714286,214.28571428571428,16.571428571428573,58880.71428571428,31145.714285714286,13787.57142857143
2020-02-16,241.28571428571428,217.42857142857142,17.428571428571427,59122.0,31363.14285714286,13805.0
2020-02-17,251.42857142857142,227.28571428571428,16.285714285714285,59373.42857142857,31590.428571428572,13821.285714285714
2020-02-18,251.71428571428572,229.57142857142858,15.142857142857142,59625.142857142855,31820.0,13836.42857142857
2020-02-19,268.0,245.57142857142858,14.857142857142858,59893.142857142855,32065.571428571428,13851.285714285714
2020-02-20,271.0,248.42857142857142,13.857142857142858,60164.142857142855,32314.0,13865.142857142857
2020-02-21,280.14285714285717,257.42857142857144,13.714285714285714,60444.28571428572,32571.428571428572,13878.857142857143
2020-02-22,276.85714285714283,254.85714285714286,12.571428571428571,60721.142857142855,32826.28571428572,13891.42857142857
2020-02-23,296.85714285714283,275.7142857142857,12.571428571428571,61018.0,33102.0,13904.0
2020-02-24,294.14285714285717,274.14285714285717,12.142857142857142,61312.142857142855,33376.142857142855,13916.142857142857
2020-02-25,305.0,285.57142857142856,12.428571428571429,61617.142857142855,33661.71428571428,13928.57142857143
2020-02-26,316.7142857142857,297.85714285714283,12.285714285714286,61933.857142857145,33959.57142857143,13940.857142857143
2020-02-27,333.42857142857144,316.0,13.285714285714286,62267.28571428572,34275.57142857143,13954.142857142857
2020-02-28,351.2857142857143,335.57142857142856,13.142857142857142,62618.57142857143,34611.142857142855,13967.285714285714
2020-02-29,368.7142857142857,353.42857142857144,15.285714285714286,62987.28571428572,34964.57142857143,13982.57142857143
2020-03-01,378.57142857142856,362.57142857142856,14.428571428571429,63365.857142857145,35327.142857142855,13997.0
2020-03-02,400.57142857142856,384.57142857142856,13.857142857142858,63766.42857142857,35711.71428571428,14010.857142857143
2020-03-03,413.85714285714283,398.42857142857144,13.857142857142858,64180.28571428572,36110.142857142855,14024.714285714286
2020-03-04,412.2857142857143,398.85714285714283,13.571428571428571,64592.57142857143,36509.0,14038.285714285714
2020-03-05,416.7142857142857,401.2857142857143,11.714285714285714,65009.28571428572,36910.28571428572,14050.0
2020-03-06,413.85714285714283,398.57142857142856,10.428571428571429,65423.142857142855,37308.857142857145,14060.42857142857
2020-03-07,411.57142857142856,395.42857142857144,7.714285714285714,65834.71428571429,37704.28571428572,14068.142857142857
2020-03-08,402.85714285714283,388.2857142857143,7.857142857142857,66237.57142857143,38092.57142857143,14076.0
2020-03-09,401.0,387.2857142857143,7.285714285714286,66638.57142857143,38479.857142857145,14083.285714285714
2020-03-10,400.2857142857143,385.85714285714283,6.714285714285714,67038.85714285714,38865.71428571428,14090.0
2020-03-11,395.14285714285717,380.42857142857144,5.714285714285714,67434.0,39246.142857142855,14095.714285714286
2020-03-12,386.7142857142857,374.14285714285717,6.714285714285714,67820.71428571429,39620.28571428572,14102.42857142857
2020-03-13,373.7142857142857,362.42857142857144,6.857142857142857,68194.42857142857,39982.71428571428,14109.285714285714
2020-03-14,372.7142857142857,361.14285714285717,6.857142857142857,68567.14285714286,40343.857142857145,14116.142857142857
2020-03-15,364.0,352.85714285714283,6.428571428571429,68931.14285714286,40696.71428571428,14122.57142857143
2020-03-16,349.57142857142856,339.0,6.142857142857143,69280.71428571429,41035.71428571428,14128.714285714286
2020-03-17,330.2857142857143,321.57142857142856,5.285714285714286,69611.0,41357.28571428572,14134.0
2020-03-18,309.57142857142856,302.0,5.0,69920.57142857143,41659.28571428572,14139.0
2020-03-19,291.14285714285717,285.14285714285717,4.571428571428571,70211.71428571429,41944.42857142857,14143.57142857143
2020-03-20,279.0,273.42857142857144,4.285714285714286,70490.71428571429,42217.857142857145,14147.857142857143
2020-03-21,258.85714285714283,255.0,4.285714285714286,70749.57142857143,42472.857142857145,14152.142857142857
2020-03-22,245.28571428571428,241.71428571428572,4.428571428571429,70994.85714285714,42714.57142857143,14156.57142857143
2020-03-23,222.14285714285714,218.57142857142858,4.285714285714286,71217.0,42933.142857142855,14160.857142857143
2020-03-24,206.42857142857142,202.71428571428572,5.142857142857143,71423.42857142857,43135.857142857145,14166.0
2020-03-25,204.0,200.71428571428572,5.0,71627.42857142857,43336.57142857143,14171.0
